Wavelength (nm),Power (mW)
1260,5.88e-08
1261,5.86e-08
1262,5e-08
1263,5.72e-08
1264,5.21e-08
1265,5.4e-08
1266,5.44e-08
1267,5.45e-08
1268,5.57e-08
1269,5.4e-08
1270,5.35e-08
1271,5.46e-08
1272,5.67e-08
1273,5.24e-08
1274,5.49e-08
1275,5.95e-08
1276,6.01e-08
1277,5.26e-08
1278,5.85e-08
1279,6.36e-08
1280,6.19e-08
1281,5.59e-08
1282,6.1e-08
1283,6.66e-08
1284,7.05e-08
1285,6.25e-08
1286,6.92e-08
1287,8.1e-08
1288,8.92e-08
1289,9.27e-08
1290,9.18e-08
1291,1.004e-07
1292,1.086e-07
1293,1.202e-07
1294,1.223e-07
1295,1.397e-07
1296,1.382e-07
1297,1.705e-07
1298,1.718e-07
1299,1.717e-07
1300,2.111e-07
1301,2.089e-07
1302,2.65e-07
1303,1.12e-07
1304,1.015e-07
1305,2.517e-07
1306,1.509e-07
1307,1.532e-07
1308,3.3e-07
1309,5.8e-07
1310,7.08e-07
1311,7.17e-07
1312,8.89e-07
1313,9.57e-07
1314,1.244e-06
1315,1.179e-06
1316,1.564e-06
1317,1.826e-06
1318,2.247e-06
1319,2.396e-06
1320,2.716e-06
1321,3.44e-06
1322,4.24e-06
1323,4.91e-06
1324,5.65e-06
1325,6.57e-06
1326,7.61e-06
1327,8.58e-06
1328,9.66e-06
1329,1.11e-05
1330,1.273e-05
1331,1.435e-05
1332,1.639e-05
1333,1.868e-05
1334,2.131e-05
1335,2.306e-05
1336,2.728e-05
1337,2.964e-05
1338,3.21e-05
1339,3.74e-05
1340,3.81e-05
1341,4.56e-05
1342,4.6e-05
1343,5.26e-05
1344,5.84e-05
1345,5.9e-05
1346,6.79e-05
1347,6.79e-05
1348,7.33e-05
1349,7.48e-05
1350,7.76e-05
1351,8.22e-05
1352,8.35e-05
1353,8.34e-05
1354,8.47e-05
1355,8.17e-05
1356,7.94e-05
1357,7.74e-05
1358,7.47e-05
1359,7.21e-05
1360,6.28e-05
