Wavelength (nm),Power (mW)
1260,9.70E-09
1261,7.27E-09
1262,1.00E-10
1263,-6.00E-11
1264,-5.00E-11
1265,-5.00E-11
1266,-5.00E-11
1267,-5.00E-11
1268,-4.00E-11
1269,-5.00E-11
1270,-4.00E-11
1271,-4.00E-11
1272,-1.00E-11
1273,-1.00E-11
1274,4.00E-11
1275,2.00E-11
1276,-3.00E-11
1277,1.00E-11
1278,-1.00E-11
1279,-4.00E-11
1280,-4.00E-11
1281,4.00E-11
1282,1.40E-10
1283,3.00E-11
1284,-4.00E-11
1285,1.10E-10
1286,3.00E-11
1287,8.00E-11
1288,-1.00E-11
1289,-1.00E-11
1290,7.00E-11
1291,1.70E-10
1292,8.00E-11
1293,4.00E-11
1294,0
1295,1.00E-10
1296,5.00E-11
1297,1.00E-10
1298,2.00E-11
1299,8.00E-11
1300,2.00E-11
1301,0
1302,6.00E-11
1303,1.00E-10
1304,6.00E-11
1305,2.30E-10
1306,1.00E-10
1307,1.10E-10
1308,1.40E-10
1309,4.90E-10
1310,3.30E-10
1311,4.00E-10
1312,3.90E-10
1313,3.40E-10
1314,4.00E-10
1315,2.50E-10
1316,1.50E-10
1317,3.40E-10
1318,6.60E-10
1319,1.02E-09
1320,9.00E-10
1321,1.00E-09
1322,9.40E-10
1323,5.30E-10
1324,8.50E-10
1325,1.12E-09
1326,9.60E-10
1327,8.30E-10
1328,1.58E-09
1329,2.14E-09
1330,2.18E-09
1331,2.01E-09
1332,2.06E-09
1333,3.02E-09
1334,3.61E-09
1335,3.63E-09
1336,4.09E-09
1337,5.15E-09
1338,5.53E-09
1339,5.37E-09
1340,5.62E-09
1341,6.51E-09
1342,7.66E-09
1343,8.66E-09
1344,9.62E-09
1345,1.07E-08
1346,1.06E-08
1347,1.10E-08
1348,1.17E-08
1349,1.07E-08
1350,1.07E-08
1351,1.04E-08
1352,1.15E-08
1353,1.15E-08
1354,1.17E-08
1355,1.15E-08
1356,1.15E-08
1357,1.05E-08
1358,9.19E-09
1359,8.44E-09
1360,8.17E-09
