Current (A),Voltage (V)
-0.000854839,-2.0
-0.0008336,-1.95
-0.000812462,-1.9
-0.000791515,-1.85
-0.000770046,-1.8
-0.000749723,-1.75
-0.00072891,-1.7
-0.000708109,-1.65
-0.000687418,-1.6
-0.000666763,-1.55
-0.000646031,-1.5
-0.000625456,-1.45
-0.000604867,-1.4
-0.000584415,-1.35
-0.000563886,-1.3
-0.000543347,-1.25
-0.000522907,-1.2
-0.000502539,-1.15
-0.000482177,-1.1
-0.000461835,-1.05
-0.000441548,-1.0
-0.000421259,-0.95
-0.000401017,-0.9
-0.000380771,-0.85
-0.000360587,-0.8
-0.000340431,-0.75
-0.000320292,-0.7
-0.000300185,-0.65
-0.000280088,-0.6
-0.000260009,-0.55
-0.000239953,-0.5
-0.000219914,-0.45
-0.000199851,-0.4
-0.000179837,-0.35
-0.000159816,-0.3
-0.000139787,-0.25
-0.000119736,-0.2
-9.96453e-05,-0.15
-7.95018e-05,-0.1
-5.93038e-05,-0.05
-3.90292e-05,0.0
-1.8651e-05,0.05
1.86908e-06,0.1
2.25509e-05,0.15
4.34754e-05,0.2
6.46434e-05,0.25
8.61068e-05,0.3
0.000107866,0.35
0.000130009,0.4
0.000152691,0.45
0.00017636,0.5
0.000203186,0.55
0.00024271,0.6
0.000327371,0.65
0.000531472,0.7
0.000955947,0.75
0.00165831,0.8
0.0026315,0.85
0.00384703,0.9
0.00526164,0.95
0.00682016,1.0
0.00847387,1.05
0.0101795,1.1
0.0119356,1.15
0.01375,1.2
0.0156444,1.25
0.0176249,1.3
0.0197059,1.35
0.0218917,1.4
0.0241862,1.45
0.0265948,1.5
0.0291075,1.55
0.0300025,1.6
0.0300027,1.65
0.0300024,1.7
0.0300024,1.75
0.0300027,1.8
0.0300026,1.85
0.0300028,1.9
0.0300026,1.95
0.0300026,2.0
